trip_id, arrival_time, departure_time, stop_id, stop_sequence
1089-1-001,08:12:00,08:12:00,166_A,0
1089-1-001,08:12:00,08:12:00,165_B,1
1089-1-001,08:13:00,08:13:00,164_B,2
1089-1-001,08:14:00,08:14:00,163_B,3
1089-1-001,08:15:00,08:15:00,162_B,4
1089-1-001,08:16:00,08:16:00,161_B,5
1089-1-001,08:18:00,08:18:00,151_C,6
1089-1-001,08:18:00,08:18:00,170_B,7
1089-1-001,08:19:00,08:19:00,171_B,8
1089-1-001,08:20:00,08:20:00,172_B,9
1089-1-001,08:21:00,08:21:00,173_B,10
1089-1-001,08:22:00,08:22:00,174_B,11
1089-1-001,08:22:00,08:22:00,175_B,12
1089-1-001,08:23:00,08:23:00,176_B,13
1089-1-001,08:24:00,08:24:00,177_B,14
1089-1-001,08:26:00,08:26:00,178_B,15
1089-1-001,08:27:00,08:27:00,179_B,16
1089-1-001,08:28:00,08:28:00,181_B,17
1089-1-001,08:30:00,08:30:00,182_B,18
1089-1-001,08:31:00,08:31:00,201_B,19
1089-1-001,08:35:00,08:35:00,211_D,20
1089-1-001,08:36:00,08:36:00,221_C,21
1089-1-001,08:37:00,08:37:00,262_B,22
1089-1-002,08:43:00,08:43:00,166_A,0
1089-1-002,08:43:00,08:43:00,165_B,1
1089-1-002,08:44:00,08:44:00,164_B,2
1089-1-002,08:45:00,08:45:00,163_B,3
1089-1-002,08:46:00,08:46:00,162_B,4
1089-1-002,08:47:00,08:47:00,161_B,5
1089-1-002,08:49:00,08:49:00,151_C,6
1089-1-002,08:49:00,08:49:00,170_B,7
1089-1-002,08:50:00,08:50:00,171_B,8
1089-1-002,08:51:00,08:51:00,172_B,9
1089-1-002,08:52:00,08:52:00,173_B,10
1089-1-002,08:53:00,08:53:00,174_B,11
1089-1-002,08:53:00,08:53:00,175_B,12
1089-1-002,08:54:00,08:54:00,176_B,13
1089-1-002,08:55:00,08:55:00,177_B,14
1089-1-002,08:57:00,08:57:00,178_B,15
1089-1-002,08:58:00,08:58:00,179_B,16
1089-1-002,08:59:00,08:59:00,181_B,17
1089-1-002,09:00:00,09:00:00,182_B,18
1089-1-002,09:01:00,09:01:00,201_B,19
1089-1-002,09:03:00,09:03:00,211_D,20
1089-1-002,09:04:00,09:04:00,221_C,21
1089-1-002,09:05:00,09:05:00,262_B,22
1089-1-003,07:13:00,07:13:00,166_A,0
1089-1-003,07:13:00,07:13:00,165_B,1
1089-1-003,07:14:00,07:14:00,164_B,2
1089-1-003,07:15:00,07:15:00,163_B,3
1089-1-003,07:16:00,07:16:00,162_B,4
1089-1-003,07:17:00,07:17:00,161_B,5
1089-1-003,07:19:00,07:19:00,151_C,6
1089-1-003,07:19:00,07:19:00,170_B,7
1089-1-003,07:20:00,07:20:00,171_B,8
1089-1-003,07:21:00,07:21:00,172_B,9
1089-1-003,07:22:00,07:22:00,173_B,10
1089-1-003,07:23:00,07:23:00,174_B,11
1089-1-003,07:23:00,07:23:00,175_B,12
1089-1-003,07:24:00,07:24:00,176_B,13
1089-1-003,07:25:00,07:25:00,177_B,14
1089-1-003,07:27:00,07:27:00,178_B,15
1089-1-003,07:28:00,07:28:00,179_B,16
1089-1-003,07:29:00,07:29:00,181_B,17
1089-1-003,07:30:00,07:30:00,182_B,18
1089-1-003,07:31:00,07:31:00,201_B,19
1089-1-003,07:33:00,07:33:00,211_D,20
1089-1-003,07:34:00,07:34:00,221_C,21
1089-1-003,07:35:00,07:35:00,262_B,22
1089-1-004,08:01:00,08:01:00,166_A,0
1089-1-004,08:01:00,08:01:00,165_B,1
1089-1-004,08:02:00,08:02:00,164_B,2
1089-1-004,08:03:00,08:03:00,163_B,3
1089-1-004,08:04:00,08:04:00,162_B,4
1089-1-004,08:05:00,08:05:00,161_B,5
1089-1-004,08:07:00,08:07:00,151_C,6
1089-1-004,08:07:00,08:07:00,170_B,7
1089-1-004,08:08:00,08:08:00,171_B,8
1089-1-004,08:09:00,08:09:00,172_B,9
1089-1-004,08:10:00,08:10:00,173_B,10
1089-1-004,08:11:00,08:11:00,174_B,11
1089-1-004,08:11:00,08:11:00,175_B,12
1089-1-004,08:12:00,08:12:00,176_B,13
1089-1-004,08:13:00,08:13:00,177_B,14
1089-1-004,08:15:00,08:15:00,178_B,15
1089-1-004,08:16:00,08:16:00,179_B,16
1089-1-004,08:17:00,08:17:00,181_B,17
1089-1-004,08:18:00,08:18:00,182_B,18
1089-1-004,08:19:00,08:19:00,201_B,19
1089-1-004,08:21:00,08:21:00,211_D,20
1089-1-004,08:22:00,08:22:00,221_C,21
1089-1-004,08:23:00,08:23:00,262_B,22
1089-2-001,06:54:00,06:54:00,262_B,0
1089-2-001,06:55:00,06:55:00,221_C,1
1089-2-001,06:56:00,06:56:00,211_D,2
1089-2-001,06:57:00,06:57:00,201_B,3
1089-2-001,06:58:00,06:58:00,182_B,4
1089-2-001,07:00:00,07:00:00,181_B,5
1089-2-001,07:01:00,07:01:00,179_B,6
1089-2-001,07:03:00,07:03:00,178_B,7
1089-2-001,07:04:00,07:04:00,177_B,8
1089-2-001,07:05:00,07:05:00,176_B,9
1089-2-001,07:06:00,07:06:00,175_B,10
1089-2-001,07:06:00,07:06:00,174_B,11
1089-2-001,07:07:00,07:07:00,173_B,12
1089-2-001,07:08:00,07:08:00,172_B,13
1089-2-001,07:09:00,07:09:00,171_B,14
1089-2-001,07:10:00,07:10:00,170_B,15
1089-2-001,07:12:00,07:12:00,151_C,16
1089-2-001,07:13:00,07:13:00,161_B,17
1089-2-001,07:14:00,07:14:00,162_B,18
1089-2-001,07:14:00,07:14:00,163_B,19
1089-2-001,07:15:00,07:15:00,164_B,20
1089-2-001,07:16:00,07:16:00,165_B,21
1089-2-001,07:19:00,07:19:00,166_A,22
1089-2-002,06:50:00,06:50:00,262_B,0
1089-2-002,06:51:00,06:51:00,221_C,1
1089-2-002,06:52:00,06:52:00,211_D,2
1089-2-002,06:53:00,06:53:00,201_B,3
1089-2-002,06:53:00,06:53:00,182_B,4
1089-2-002,06:55:00,06:55:00,181_B,5
1089-2-002,06:56:00,06:56:00,179_B,6
1089-2-002,06:57:00,06:57:00,178_B,7
1089-2-002,06:58:00,06:58:00,177_B,8
1089-2-002,06:59:00,06:59:00,176_B,9
1089-2-002,07:00:00,07:00:00,175_B,10
1089-2-002,07:00:00,07:00:00,174_B,11
1089-2-002,07:01:00,07:01:00,173_B,12
1089-2-002,07:02:00,07:02:00,172_B,13
1089-2-002,07:02:00,07:02:00,171_B,14
1089-2-002,07:03:00,07:03:00,170_B,15
1089-2-002,07:04:00,07:04:00,151_C,16
1089-2-002,07:05:00,07:05:00,161_B,17
1089-2-002,07:06:00,07:06:00,162_B,18
1089-2-002,07:06:00,07:06:00,163_B,19
1089-2-002,07:07:00,07:07:00,164_B,20
1089-2-002,07:08:00,07:08:00,165_B,21
1089-2-002,07:10:00,07:10:00,166_A,22
1089-2-003,07:36:00,07:36:00,262_B,0
1089-2-003,07:37:00,07:37:00,221_C,1
1089-2-003,07:38:00,07:38:00,211_D,2
1089-2-003,07:39:00,07:39:00,201_B,3
1089-2-003,07:39:00,07:39:00,182_B,4
1089-2-003,07:41:00,07:41:00,181_B,5
1089-2-003,07:42:00,07:42:00,179_B,6
1089-2-003,07:44:00,07:44:00,178_B,7
