stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_url
1_A,,絵鞆団地,"",42.348363,141.025856,0,,0,""
2_A,,絵鞆２丁目,"",42.348363,141.025856,0,,0,""
2_B,,絵鞆２丁目,"",42.348363,141.025856,0,,0,""
3_A,,絵鞆中央,"",42.348363,141.025856,0,,0,""
3_B,,絵鞆中央,"",42.348363,141.025856,0,,0,""
4_A,,絵鞆公園前,"",42.348363,141.025856,0,,0,""
5_A,,公営住宅前,"",42.348363,141.025856,0,,0,""
11_A,,絵鞆１丁目,"",42.348363,141.025856,0,,0,""
11_B,,絵鞆１丁目,"",42.348363,141.025856,0,,0,""
12_A,,緑丘,"",42.348363,141.025856,0,,0,""
12_B,,緑丘,"",42.348363,141.025856,0,,0,""
13_A,,水族館前,"",42.348363,141.025856,0,,0,""
13_B,,水族館前,"",42.348363,141.025856,0,,0,""
14_A,,祝津町２丁目,"",42.348363,141.025856,0,,0,""
14_B,,祝津町２丁目,"",42.348363,141.025856,0,,0,""
15_A,,室蘭築港,"",42.348363,141.025856,0,,0,""
15_B,,室蘭築港,"",42.348363,141.025856,0,,0,""
16_A,,ドック前,"",42.348363,141.025856,0,,0,""
16_B,,ドック前,"",42.348363,141.025856,0,,0,""
17_A,,楢崎造船前,"",42.348363,141.025856,0,,0,""
17_B,,楢崎造船前,"",42.348363,141.025856,0,,0,""
21_A,,養護老人ホームあいらん前,"",42.348363,141.025856,0,,0,""
21_B,,養護老人ホームあいらん前,"",42.348363,141.025856,0,,0,""
22_A,,桜ヶ丘小学校前,"",42.348363,141.025856,0,,0,""
22_B,,桜ヶ丘小学校前,"",42.348363,141.025856,0,,0,""
23_A,,港南町２丁目,"",42.348363,141.025856,0,,0,""
23_B,,港南町２丁目,"",42.348363,141.025856,0,,0,""
32_A,,増市通,"",42.348363,141.025856,0,,0,""
33_A,,桜ケ丘,"",42.348363,141.025856,0,,0,""
33_B,,桜ケ丘,"",42.348363,141.025856,0,,0,""
41_A,,港南中学校前,"",42.348363,141.025856,0,,0,""
41_B,,港南中学校前,"",42.348363,141.025856,0,,0,""
42_A,,営林署前,"",42.348363,141.025856,0,,0,""
42_B,,営林署前,"",42.348363,141.025856,0,,0,""
51_A,,港南町,"",42.348363,141.025856,0,,0,""
51_B,,港南町,"",42.348363,141.025856,0,,0,""
52_A,,小橋内,"",42.348363,141.025856,0,,0,""
52_B,,小橋内,"",42.348363,141.025856,0,,0,""
53_A,,小橋内１丁目,"",42.348363,141.025856,0,,0,""
53_B,,小橋内１丁目,"",42.348363,141.025856,0,,0,""
61_A,,通船前,"",42.348363,141.025856,0,,0,""
61_B,,通船前,"",42.348363,141.025856,0,,0,""
71_A,,中央埠頭入口,"",42.348363,141.025856,0,,0,""
71_B,,中央埠頭入口,"",42.348363,141.025856,0,,0,""
81_A,,室蘭観光協会前,"",42.348363,141.025856,0,,0,""
81_B,,室蘭観光協会前,"",42.348363,141.025856,0,,0,""
81_C,,室蘭観光協会前,"",42.348363,141.025856,0,,0,""
82_A,,室蘭駅前,"",42.348363,141.025856,0,,0,""
82_B,,室蘭駅前,"",42.348363,141.025856,0,,0,""
83_A,,室蘭駅前広場,"",42.348363,141.025856,0,,0,""
91_A,,海岸町３丁目,"",42.348363,141.025856,0,,0,""
92_A,,八幡宮前,"",42.348363,141.025856,0,,0,""
101_A,,中央町,"",42.348363,141.025856,0,,0,""
101_B,,中央町,"",42.348363,141.025856,0,,0,""
101_D,,中央町,"",42.348363,141.025856,0,,0,""
101_E,,中央町,"",42.348363,141.025856,0,,0,""
111_B,,小公園前,"",42.348363,141.025856,0,,0,""
111_D,,小公園前,"",42.348363,141.025856,0,,0,""
112_D,,市役所前,"",42.348363,141.025856,0,,0,""
112_E,,市役所前,"",42.348363,141.025856,0,,0,""
112_F,,市役所前,"",42.348363,141.025856,0,,0,""
113_A,,市役所北,"",42.348363,141.025856,0,,0,""
114_A,,市立病院前,"",42.348363,141.025856,0,,0,""
121_A,,入江公園入口,"",42.348363,141.025856,0,,0,""
121_B,,入江公園入口,"",42.348363,141.025856,0,,0,""
122_A,,室蘭港,"",42.348363,141.025856,0,,0,""
123_A,,合同庁舎前,"",42.348363,141.025856,0,,0,""
123_B,,合同庁舎前,"",42.348363,141.025856,0,,0,""
131_A,,文化センター前,"",42.348363,141.025856,0,,0,""
132_A,,本町１丁目,"",42.348363,141.025856,0,,0,""
141_A,,ＮＨＫ前,"",42.348363,141.025856,0,,0,""
141_B,,ＮＨＫ前,"",42.348363,141.025856,0,,0,""
142_A,,日鋼記念病院前,"",42.348363,141.025856,0,,0,""
142_B,,日鋼記念病院前,"",42.348363,141.025856,0,,0,""
151_A,,母恋駅前,"",42.316514,140.989680,0,,0,""
151_B,,母恋駅前,"",42.316514,140.989680,0,,0,""
151_C,,母恋駅前,"",42.316514,140.989680,0,,0,""
161_A,,北町中央,"",42.313233,140.991338,0,,0,""
161_B,,北町中央,"",42.313233,140.991338,0,,0,""
162_A,,交番前,"",42.313233,140.991338,0,,0,""
162_B,,交番前,"",42.313233,140.991338,0,,0,""
163_A,,南町２丁目,"",42.310888,140.995603,0,,0,""
163_B,,南町２丁目,"",42.310888,140.995603,0,,0,""
164_A,,宮前,"",42.310461,140.996451,0,,0,""
164_B,,宮前,"",42.310461,140.996451,0,,0,""
165_A,,南町４丁目,"",42.309260,140.998344,0,,0,""
165_B,,南町４丁目,"",42.309260,140.998344,0,,0,""
166_A,,地球岬団地,"",42.307320,141.000473,0,,0,""
170_A,,ラッパ森,"",42.317553,140.994075,0,,0,""
170_B,,ラッパ森,"",42.317553,140.994075,0,,0,""
171_A,,御前水,"",42.321302,140.996999,0,,0,""
171_B,,御前水,"",42.321302,140.996999,0,,0,""
172_A,,御崎アパート前,"",42.325591,140.996487,0,,0,""
172_B,,御崎アパート前,"",42.325591,140.996487,0,,0,""
173_A,,御崎駅前,"",42.329042,140.994303,0,,0,""
173_B,,御崎駅前,"",42.329042,140.994303,0,,0,""
174_A,,鉄原前,"",42.333510,140.991932,0,,0,""
174_B,,鉄原前,"",42.333510,140.991932,0,,0,""
175_A,,トヨタ前,"",42.334988,140.996209,0,,0,""
175_B,,トヨタ前,"",42.334988,140.996209,0,,0,""
176_A,,大沢１丁目,"",42.334147,140.999932,0,,0,""
176_B,,大沢１丁目,"",42.334147,140.999932,0,,0,""
177_A,,輪西駅前,"",42.334282,141.008719,0,,0,""
177_B,,輪西駅前,"",42.334282,141.008719,0,,0,""
178_A,,新日鉄住金前,"",42.336059,141.011766,0,,0,""
178_B,,新日鉄住金前,"",42.336059,141.011766,0,,0,""
179_A,,輪西九条通,"",42.336065,141.011762,0,,0,""
179_B,,輪西九条通,"",42.336065,141.011762,0,,0,""
181_A,,新日鉄住金球場前,"",42.339236,141.015534,0,,0,""
181_B,,新日鉄住金球場前,"",42.339236,141.015534,0,,0,""
182_A,,末広,"",42.342179,141.023470,0,,0,""
182_B,,末広,"",42.342179,141.023470,0,,0,""
183_A,,潮見公園入口,"",42.348363,141.025856,0,,0,""
183_B,,潮見公園入口,"",42.348363,141.025856,0,,0,""
184_A,,市民会館前,"",42.348363,141.025856,0,,0,""
184_B,,市民会館前,"",42.348363,141.025856,0,,0,""
185_A,,弥生ショッピングセンター,"",42.348363,141.025856,0,,0,""
185_B,,弥生ショッピングセンター,"",42.348363,141.025856,0,,0,""
186_A,,高平通入口,"",42.348363,141.025856,0,,0,""
187_B,,本輪西３丁目,"",42.348363,141.025856,0,,0,""
188_A,,本輪西４丁目,"",42.348363,141.025856,0,,0,""
188_B,,本輪西４丁目,"",42.348363,141.025856,0,,0,""
189_B,,大学会館前,"",42.348363,141.025856,0,,0,""
192_A,,東町５丁目,"",42.348363,141.025856,0,,0,""
192_B,,東町５丁目,"",42.348363,141.025856,0,,0,""
192_C,,東町５丁目,"",42.348363,141.025856,0,,0,""
193_A,,工業団地,"",42.348363,141.025856,0,,0,""
193_B,,工業団地,"",42.348363,141.025856,0,,0,""
194_B,,東町４丁目,"",42.348363,141.025856,0,,0,""
200_A,,室蘭警察署前,"",42.348363,141.025856,0,,0,""
200_B,,室蘭警察署前,"",42.348363,141.025856,0,,0,""
201_A,,汐見,"",42.342575,141.025557,0,,0,""
201_B,,汐見,"",42.342575,141.025557,0,,0,""
211_A,,東町ターミナル,"",42.344405,141.029613,0,,0,""
211_B,,東町ターミナル,"",42.344405,141.029613,0,,0,""
211_C,,東町ターミナル,"",42.344405,141.029613,0,,0,""
211_D,,東町ターミナル,"",42.344405,141.029613,0,,0,""
221_A,,東町中央,"",42.346345,141.028205,0,,0,""
221_B,,東町中央,"",42.346345,141.028205,0,,0,""
221_C,,東町中央,"",42.346345,141.028205,0,,0,""
231_A,,東町２丁目,"",42.348363,141.025856,0,,0,""
231_C,,東町２丁目,"",42.348363,141.025856,0,,0,""
231_D,,東町２丁目,"",42.348363,141.025856,0,,0,""
241_A,,太平橋,"",42.348363,141.025856,0,,0,""
241_B,,太平橋,"",42.348363,141.025856,0,,0,""
241_C,,太平橋,"",42.348363,141.025856,0,,0,""
241_D,,太平橋,"",42.348363,141.025856,0,,0,""
251_A,,中島町４丁目,"",42.348363,141.025856,0,,0,""
251_B,,中島町４丁目,"",42.348363,141.025856,0,,0,""
261_A,,東室蘭西口,"",42.348363,141.025856,0,,0,""
261_B,,東室蘭西口,"",42.348363,141.025856,0,,0,""
261_C,,東室蘭西口,"",42.348363,141.025856,0,,0,""
262_A,,東室蘭東口,"",42.348363,141.025856,0,,0,""
262_B,,東室蘭東口,"",42.348363,141.025856,0,,0,""
271_A,,体育館前,"",42.348363,141.025856,0,,0,""
271_B,,体育館前,"",42.348363,141.025856,0,,0,""
281_A,,東会館前,"",42.348363,141.025856,0,,0,""
281_B,,東会館前,"",42.348363,141.025856,0,,0,""
282_A,,寿町１丁目,"",42.348363,141.025856,0,,0,""
282_B,,寿町１丁目,"",42.348363,141.025856,0,,0,""
291_A,,宮の森４丁目,"",42.348363,141.025856,0,,0,""
291_B,,宮の森４丁目,"",42.348363,141.025856,0,,0,""
291_C,,宮の森４丁目,"",42.348363,141.025856,0,,0,""
291_D,,宮の森４丁目,"",42.348363,141.025856,0,,0,""
301_A,,宮の森３丁目,"",42.348363,141.025856,0,,0,""
